['民兵', '轻骑兵', '125', '75'],             [['民兵', '轻骑兵', '125', '75'], 
['民兵', '轻型火炮', '125', '75'],           ['民兵', '轻型火炮', '125', '75'], 
['民兵', '突击步兵', '125', '105'],          ['民兵', '枪骑兵', '100', '75'], 
['民兵', '马克沁机枪兵', '125', '105'],      ['民兵', '重骑兵', '100', '75'], 
['民兵', '线列步兵', '125', '110'],          ['民兵', '重型火炮', '100', '75'], 
['民兵', '民兵', '105', '105'],              ['民兵', '榴弹炮', '100', '75'], 
['民兵', '来复枪兵', '105', '105'],          ['民兵', '野战炮', '100', '75'], 
['民兵', '掷弹兵', '105', '105'],            ['民兵', '突击步兵', '125', '105'], 
['民兵', '精锐轻步兵', '105', '105'],        ['民兵', '马克沁机枪兵', '125', '105'], 
['民兵', '枪骑兵', '100', '75'],             ['民兵', '民兵', '105', '105'], 
['民兵', '重骑兵', '100', '75'],             ['民兵', '来复枪兵', '105', '105'], 
['民兵', '重型火炮', '100', '75'],           ['民兵', '掷弹兵', '105', '105'], 
['民兵', '榴弹炮', '100', '75'],             ['民兵', '精锐轻步兵', '105', '105'], 
['民兵', '野战炮', '100', '75'],             ['民兵', '火枪骑兵', '100', '105'], 
['民兵', '火枪骑兵', '100', '105'],          ['民兵', '装甲车', '100', '105'], 
['民兵', '装甲车', '100', '105'],            ['民兵', '线列步兵', '125', '110'], 
['民兵', '火箭炮', '100', '120'],            ['民兵', '火箭炮', '100', '120'], 

['线列步兵', '轻骑兵', '125', '75'],         ['线列步兵', '轻骑兵', '125', '75'], 
['线列步兵', '轻型火炮', '125', '75'],       ['线列步兵', '轻型火炮', '125', '75'], 
['线列步兵', '突击步兵', '125', '110'],      ['线列步兵', '枪骑兵', '100', '75'], 
['线列步兵', '马克沁机枪兵', '125', '110'],  ['线列步兵', '重骑兵', '100', '75'], 
['线列步兵', '线列步兵', '125', '125'],      ['线列步兵', '重型火炮', '100', '75'], 
['线列步兵', '民兵', '110', '125'],          ['线列步兵', '榴弹炮', '100', '75'], 
['线列步兵', '来复枪兵', '110', '125'],      ['线列步兵', '野战炮', '100', '75'], 
['线列步兵', '掷弹兵', '110', '125'],        ['线列步兵', '突击步兵', '125', '110'], 
['线列步兵', '精锐轻步兵', '110', '125'],    ['线列步兵', '马克沁机枪兵', '125', '110'], 
['线列步兵', '枪骑兵', '100', '75'],         ['线列步兵', '装甲车', '100', '110'], 
['线列步兵', '重骑兵', '100', '75'],         ['线列步兵', '火箭炮', '100', '110'], 
['线列步兵', '重型火炮', '100', '75'],       ['线列步兵', '线列步兵', '125', '125'], 
['线列步兵', '榴弹炮', '100', '75'],         ['线列步兵', '民兵', '110', '125'], 
['线列步兵', '野战炮', '100', '75'],         ['线列步兵', '来复枪兵', '110', '125'], 
['线列步兵', '装甲车', '100', '110'],        ['线列步兵', '掷弹兵', '110', '125'], 
['线列步兵', '火箭炮', '100', '110'],        ['线列步兵', '精锐轻步兵', '110', '125'], 
['线列步兵', '火枪骑兵', '100', '125'],      ['线列步兵', '火枪骑兵', '100', '125'], 

['来复枪兵', '轻骑兵', '125', '75'],         ['来复枪兵', '轻骑兵', '125', '75'], 
['来复枪兵', '轻型火炮', '125', '75'],       ['来复枪兵', '轻型火炮', '125', '75'], 
['来复枪兵', '突击步兵', '125', '105'],      ['来复枪兵', '枪骑兵', '100', '75'], 
['来复枪兵', '马克沁机枪兵', '125', '105'],  ['来复枪兵', '重骑兵', '100', '75'], 
['来复枪兵', '线列步兵', '125', '110'],      ['来复枪兵', '重型火炮', '100', '75'], 
['来复枪兵', '民兵', '105', '105'],          ['来复枪兵', '榴弹炮', '100', '75'], 
['来复枪兵', '来复枪兵', '105', '105'],      ['来复枪兵', '野战炮', '100', '75'], 
['来复枪兵', '掷弹兵', '105', '105'],        ['来复枪兵', '突击步兵', '125', '105'], 
['来复枪兵', '精锐轻步兵', '105', '105'],    ['来复枪兵', '马克沁机枪兵', '125', '105'], 
['来复枪兵', '枪骑兵', '100', '75'],         ['来复枪兵', '民兵', '105', '105'], 
['来复枪兵', '重骑兵', '100', '75'],         ['来复枪兵', '来复枪兵', '105', '105'], 
['来复枪兵', '重型火炮', '100', '75'],       ['来复枪兵', '掷弹兵', '105', '105'], 
['来复枪兵', '榴弹炮', '100', '75'],         ['来复枪兵', '精锐轻步兵', '105', '105'], 
['来复枪兵', '野战炮', '100', '75'],         ['来复枪兵', '火枪骑兵', '100', '105'], 
['来复枪兵', '火枪骑兵', '100', '105'],      ['来复枪兵', '装甲车', '100', '105'], 
['来复枪兵', '装甲车', '100', '105'],        ['来复枪兵', '线列步兵', '125', '110'], 
['来复枪兵', '火箭炮', '100', '120'],        ['来复枪兵', '火箭炮', '100', '120'], 

['掷弹兵', '轻骑兵', '125', '75'],           ['掷弹兵', '轻骑兵', '125', '75'], 
['掷弹兵', '轻型火炮', '125', '75'],         ['掷弹兵', '轻型火炮', '125', '75'], 
['掷弹兵', '突击步兵', '125', '105'],        ['掷弹兵', '枪骑兵', '100', '75'], 
['掷弹兵', '马克沁机枪兵', '125', '105'],    ['掷弹兵', '重骑兵', '100', '75'], 
['掷弹兵', '线列步兵', '125', '110'],        ['掷弹兵', '重型火炮', '100', '75'], 
['掷弹兵', '民兵', '105', '105'],            ['掷弹兵', '榴弹炮', '100', '75'], 
['掷弹兵', '来复枪兵', '105', '105'],        ['掷弹兵', '野战炮', '100', '75'], 
['掷弹兵', '掷弹兵', '105', '105'],          ['掷弹兵', '突击步兵', '125', '105'], 
['掷弹兵', '精锐轻步兵', '105', '105'],      ['掷弹兵', '马克沁机枪兵', '125', '105'], 
['掷弹兵', '枪骑兵', '100', '75'],           ['掷弹兵', '民兵', '105', '105'], 
['掷弹兵', '重骑兵', '100', '75'],           ['掷弹兵', '来复枪兵', '105', '105'], 
['掷弹兵', '重型火炮', '100', '75'],         ['掷弹兵', '掷弹兵', '105', '105'], 
